window_name,window_numeric_id,step,avgR,stdR,expR,objC,objA,rec_path
ddpg_window_272,272,20992.0,0.5507360100746155,0.0,-0.06974487006664276,0.8723403872572817,-2.7118491987639572,checkpoints\ddpg_window_272\recorder.npy
ddpg_window_292,292,20992.0,12.199691772460938,0.0,-0.005960274487733841,0.8334552328451537,-3.973757873289287,checkpoints\ddpg_window_292\recorder.npy
ddpg_window_312,312,20992.0,3.347376823425293,0.0,-0.016589343547821045,1.3563485041086096,-3.333394983317703,checkpoints\ddpg_window_312\recorder.npy
ddpg_window_332,332,20992.0,5.7636942863464355,0.0,-0.013375937938690186,1.5356814696569927,-4.70200406992808,checkpoints\ddpg_window_332\recorder.npy
ddpg_window_352,352,20992.0,5.573904514312744,0.0,-0.019081734120845795,0.3940501068282174,-2.537564408266917,checkpoints\ddpg_window_352\recorder.npy
ddpg_window_372,372,20992.0,10.050179481506348,0.0,0.018737200647592545,0.4601904409646522,-5.294481627643108,checkpoints\ddpg_window_372\recorder.npy
ddpg_window_392,392,20992.0,6.772508144378662,5.840038852511498e-07,-0.02089415118098259,0.862598567007808,-0.8872578985974542,checkpoints\ddpg_window_392\recorder.npy
ddpg_window_412,412,20992.0,7.589958667755127,0.0,-0.005050022155046463,1.0819454143638723,-5.3396010641008615,checkpoints\ddpg_window_412\recorder.npy
ddpg_window_432,432,20992.0,-3.05725359916687,2.920019426255749e-07,-0.043724000453948975,1.09321321581956,-8.750371091067791,checkpoints\ddpg_window_432\recorder.npy
ddpg_window_452,452,20992.0,-1.2254843711853027,0.0,-0.05063427984714508,0.7188232232729206,-5.077794718556106,checkpoints\ddpg_window_452\recorder.npy
ddpg_window_472,472,20992.0,-18.308629989624023,0.0,-0.10052907466888428,0.7840390719939023,-12.184727627784014,checkpoints\ddpg_window_472\recorder.npy
ddpg_window_492,492,20992.0,-2.9939308166503906,0.0,-0.07213079929351807,0.750578123726882,-5.955629181116819,checkpoints\ddpg_window_492\recorder.npy
ddpg_window_512,512,20992.0,-1.248645544052124,0.0,-0.04380664601922035,1.0435276406933554,-9.79834776557982,checkpoints\ddpg_window_512\recorder.npy
ddpg_window_532,532,20992.0,-3.258824110031128,0.0,-0.05875002592802048,0.7634342535748146,-7.538759694434702,checkpoints\ddpg_window_532\recorder.npy
ddpg_window_552,552,20992.0,-3.1310431957244873,2.920019426255749e-07,-0.03375888243317604,1.291245878470363,-4.998946740757674,checkpoints\ddpg_window_552\recorder.npy
ddpg_window_572,572,20992.0,-7.88961935043335,0.0,-0.04359738901257515,0.708305700623896,-6.311291266232729,checkpoints\ddpg_window_572\recorder.npy
ddpg_window_592,592,20992.0,-12.752094268798828,0.0,-0.06377026438713074,0.668164990056539,-8.794839247129858,checkpoints\ddpg_window_592\recorder.npy
ddpg_window_612,612,20992.0,0.2321949154138565,0.0,-0.06356218457221985,0.59456473053433,-6.537117536179721,checkpoints\ddpg_window_612\recorder.npy
ddpg_window_632,632,20992.0,-7.554144382476807,0.0,-0.04893568158149719,0.6842060266644694,-8.331596536561847,checkpoints\ddpg_window_632\recorder.npy
ddpg_window_652,652,20992.0,-4.618020057678223,0.0,-0.07151804864406586,0.7062247548019513,-5.541885274462402,checkpoints\ddpg_window_652\recorder.npy
ddpg_window_672,672,20992.0,10.551065444946289,0.0,-0.003764461725950241,1.1972688854439184,-5.069437388330698,checkpoints\ddpg_window_672\recorder.npy
ddpg_window_692,692,20992.0,8.70535945892334,0.0,0.0023697884753346443,0.6481990531028714,-7.848752842284739,checkpoints\ddpg_window_692\recorder.npy
ddpg_window_712,712,20992.0,10.964232444763184,0.0,0.00925750657916069,1.0671881405869499,-5.933454157784581,checkpoints\ddpg_window_712\recorder.npy
ddpg_window_732,732,20992.0,4.102344989776611,0.0,-0.021991848945617676,0.7373938412056305,-1.3888559508923208,checkpoints\ddpg_window_732\recorder.npy
ddpg_window_752,752,20992.0,10.417285919189453,0.0,-0.010668419301509857,0.9522353341744747,-7.424298726953566,checkpoints\ddpg_window_752\recorder.npy
ddpg_window_772,772,20992.0,11.982367515563965,0.0,0.0001513306051492691,0.3642611025570659,-6.232279981486499,checkpoints\ddpg_window_772\recorder.npy
ddpg_window_792,792,20992.0,10.031743049621582,0.0,0.0025251321494579315,0.5727525259426329,-5.453697408083826,checkpoints\ddpg_window_792\recorder.npy
ddpg_window_812,812,20992.0,4.491269111633301,0.0,-0.018697557970881462,0.3338386321265716,-5.3689091093838215,checkpoints\ddpg_window_812\recorder.npy
ddpg_window_832,832,20992.0,6.085498809814453,0.0,-0.014270152896642685,0.946322996285744,-5.25981919746846,checkpoints\ddpg_window_832\recorder.npy
ddpg_window_852,852,20992.0,9.089190483093262,0.0,0.001221582293510437,0.6911113668902544,-4.567440158221871,checkpoints\ddpg_window_852\recorder.npy
ddpg_window_872,872,20992.0,21.766042709350586,0.0,0.051219549030065536,0.6222229806589894,0.3750735907815397,checkpoints\ddpg_window_872\recorder.npy
ddpg_window_892,892,20992.0,7.636512279510498,0.0,-0.01432410441339016,0.6715897578396834,-0.9739866726013133,checkpoints\ddpg_window_892\recorder.npy
ddpg_window_912,912,20992.0,28.24064064025879,0.0,0.07605904340744019,0.9046844772819895,2.1268739145016298,checkpoints\ddpg_window_912\recorder.npy
ddpg_window_932,932,20992.0,2.7165238857269287,0.0,-0.015480097383260727,0.839993903413415,-2.5729321350809187,checkpoints\ddpg_window_932\recorder.npy
ddpg_window_952,952,20992.0,5.224306583404541,0.0,0.0009849704802036285,0.5207091633346863,-3.3074163952842355,checkpoints\ddpg_window_952\recorder.npy
ddpg_window_972,972,20992.0,12.580262184143066,0.0,0.0025168168358504772,0.8449184970231727,-1.2139483214195934,checkpoints\ddpg_window_972\recorder.npy
ddpg_window_992,992,20992.0,18.985668182373047,0.0,0.03565799072384834,0.9749682418478187,-2.4377817101194523,checkpoints\ddpg_window_992\recorder.npy
ddpg_window_1012,1012,20992.0,15.772941589355469,0.0,0.02084447257220745,0.581784364010673,-1.1027462367492262,checkpoints\ddpg_window_1012\recorder.npy
ddpg_window_1032,1032,20992.0,13.014485359191895,1.1680077705022995e-06,0.007930595427751541,0.5820329274283722,-3.497413159813732,checkpoints\ddpg_window_1032\recorder.npy
ddpg_window_1052,1052,20992.0,14.82209300994873,1.1680077705022995e-06,0.01910334825515747,0.4496372452849755,-1.9970394697738811,checkpoints\ddpg_window_1052\recorder.npy
ddpg_window_1072,1072,20992.0,12.773536682128906,0.0,0.015962861478328705,0.65208102716133,-2.3515935899922624,checkpoints\ddpg_window_1072\recorder.npy
ddpg_window_1092,1092,20992.0,3.6909425258636475,0.0,-0.019428834319114685,0.48199976625619456,-6.472748099826276,checkpoints\ddpg_window_1092\recorder.npy
ddpg_window_1112,1112,20992.0,6.380512237548828,0.0,-0.029360104352235794,0.5694953588244971,-6.080869569443166,checkpoints\ddpg_window_1112\recorder.npy
ddpg_window_1132,1132,20992.0,5.234601020812988,0.0,-0.045500773936510086,0.6168920563068241,-4.405671881977469,checkpoints\ddpg_window_1132\recorder.npy
ddpg_window_1152,1152,20992.0,7.132320404052734,0.0,-0.008884729817509651,0.5084565138386097,-5.9670357862487435,checkpoints\ddpg_window_1152\recorder.npy
ddpg_window_1172,1172,20992.0,-5.469702243804932,0.0,-0.06644900143146515,0.7418925689125899,-1.770250064902939,checkpoints\ddpg_window_1172\recorder.npy
ddpg_window_1192,1192,20992.0,9.547310829162598,0.0,-0.018635384738445282,0.9054850480752066,-3.1020888253115118,checkpoints\ddpg_window_1192\recorder.npy
ddpg_window_1212,1212,20992.0,7.5738749504089355,0.0,-0.008185908198356628,0.7910643550712848,-2.7919623332563788,checkpoints\ddpg_window_1212\recorder.npy
ddpg_window_1232,1232,20992.0,6.394764423370361,0.0,-0.014379454776644707,0.3004403323866427,-5.036806259769946,checkpoints\ddpg_window_1232\recorder.npy
ddpg_window_1252,1252,20992.0,8.80416488647461,0.0,-0.0018165148794651031,0.5565983562410111,-3.417409235611558,checkpoints\ddpg_window_1252\recorder.npy
ddpg_window_1272,1272,20992.0,2.6452600955963135,0.0,-0.01660127006471157,0.48386902768106665,-5.107126725837588,checkpoints\ddpg_window_1272\recorder.npy
