date,account_value
2012-01-10,1046123.2031147262
2012-01-11,1048206.6008450595
2012-01-12,1054424.0090846855
2012-01-13,1000000.0
2012-01-17,1000468.3209205628
2012-01-18,1003949.3254044533
2012-01-19,1006219.1632771494
2012-01-20,1009751.7428499225
2012-01-23,1007893.5094774249
2012-01-24,1005988.6640930178
2012-01-25,1013079.5093486789
2012-01-26,1010307.489320183
2012-01-27,1008620.5589498522
2012-01-30,1006135.9295095446
2012-01-31,1007039.9939741137
2012-02-01,1016380.0729955676
2012-02-02,1015980.952664757
2012-02-03,1030589.1164030078
2012-02-06,1028982.7938283923
2012-02-07,1031222.651883507
2012-02-08,1030567.4578870776
2012-02-09,1031270.7863058093
2012-02-10,1025958.1823553088
2012-02-13,1000000.0
2012-02-14,999861.9038871765
2012-02-15,997989.0316360474
2012-02-16,1001838.9674673079
2012-02-17,1003011.2949113846
2012-02-21,1003817.5469360352
2012-02-22,1001781.6150688172
2012-02-23,1008838.7864303284
2012-02-24,1012742.5100069237
2012-02-27,1013325.7356954346
2012-02-28,1016283.7942117825
2012-02-29,1011505.1278994656
2012-03-01,1017706.0216509495
2012-03-02,1016335.899549595
2012-03-05,1012519.8427510338
2012-03-06,994363.1315797501
2012-03-07,1002936.9645169831
2012-03-08,1010776.3368067818
2012-03-09,1013074.2387915383
2012-03-12,1013071.9155385362
2012-03-13,1000000.0
2012-03-14,999694.8347864152
2012-03-15,1000362.4798017504
2012-03-16,999385.7552312852
2012-03-19,1000260.5041803363
2012-03-20,1000020.7512229924
2012-03-21,998982.1254299168
2012-03-22,996044.1563211444
2012-03-23,997392.2691633229
2012-03-26,1006502.0291608814
2012-03-27,1003392.1001026159
2012-03-28,1002759.3242082602
2012-03-29,1003405.9198871618
2012-03-30,1008051.6203622824
2012-04-02,1012206.2126173254
2012-04-03,1009390.4874148509
2012-04-04,998354.4346941363
2012-04-05,999815.635628861
2012-04-09,991993.5638037726
2012-04-10,976937.889830773
2012-04-11,1000000.0
2012-04-12,1001178.9275926589
2012-04-13,998775.69961071
2012-04-16,998920.1499320983
2012-04-17,1005462.482847786
2012-04-18,1000205.7337854386
2012-04-19,998074.8905141832
2012-04-20,1002387.70834198
2012-04-23,997417.9676425934
2012-04-24,999451.3936157228
2012-04-25,1015026.3069116822
2012-04-26,1023923.6434366456
2012-04-27,1024458.7088205568
2012-04-30,1019915.3506943703
2012-05-01,1026221.930764866
2012-05-02,1025583.4608361245
2012-05-03,1020192.4320351601
2012-05-04,1005534.9626290322
2012-05-07,1004641.0808329468
2012-05-08,998845.9652912332
2012-05-09,1000000.0
2012-05-10,999612.7419008254
2012-05-11,998010.6514547347
2012-05-14,994292.0723033904
2012-05-15,992559.3209012984
2012-05-16,990733.3532993315
2012-05-17,980044.530565643
2012-05-18,974253.7475896833
2012-05-21,987476.1970495221
2012-05-22,989183.1300731065
2012-05-23,988883.6421763055
2012-05-24,989129.5387838265
2012-05-25,983110.1746470849
2012-05-29,990519.8253620355
2012-05-30,976432.0627211396
2012-05-31,975700.8787006509
2012-06-01,948462.3473142545
2012-06-04,946833.8946732786
2012-06-05,952933.1433171498
2012-06-06,975124.3678217808
2012-06-07,1000000.0
2012-06-08,1000447.1343448637
2012-06-11,997616.8252832411
2012-06-12,1001559.1357397079
2012-06-13,997910.830093193
2012-06-14,1005198.6217609404
2012-06-15,1012941.1928453445
2012-06-18,1010960.5373643875
2012-06-19,1018691.0249486923
2012-06-20,1016591.6313732148
2012-06-21,993714.2849295196
2012-06-22,1000772.5397340985
2012-06-25,987307.615837349
2012-06-26,990531.5542702675
2012-06-27,999350.2990024834
2012-06-28,995494.5964483948
2012-06-29,1016766.7125713443
2012-07-02,1017119.6526786899
2012-07-03,1021121.4668876743
2012-07-05,1017955.5799431553
2012-07-06,1000000.0
2012-07-09,999565.1296520233
2012-07-10,998233.0063640592
2012-07-11,997034.4509149549
2012-07-12,995152.3165409088
2012-07-13,1005970.5753177642
2012-07-16,1004100.2477312088
2012-07-17,1007569.2478899001
2012-07-18,1015817.163417488
2012-07-19,1019111.8784114876
2012-07-20,1008955.7235838203
2012-07-23,998081.7367797927
2012-07-24,989256.1680975418
2012-07-25,993126.7389477615
2012-07-26,1009468.1197066783
2012-07-27,1027457.5612556171
2012-07-30,1024501.0458272037
2012-07-31,1016736.7577888354
2012-08-01,1012549.4179663839
2012-08-02,1004397.178580779
2012-08-03,1000000.0
2012-08-06,1000279.1694959638
2012-08-07,1001875.9277376173
2012-08-08,1001567.7347488401
2012-08-09,1002039.4788997647
2012-08-10,1003959.6273002622
2012-08-13,1003560.8014762877
2012-08-14,1004037.2956432342
2012-08-15,1004030.001738592
2012-08-16,1011998.6303117122
2012-08-17,1015082.1072711314
2012-08-20,1016866.2791980399
2012-08-21,1013553.0706977652
2012-08-22,1012613.4529570636
2012-08-23,1003340.7189300403
2012-08-24,1010308.0585795306
2012-08-27,1010553.179106798
2012-08-28,1005538.5794878635
2012-08-29,1007094.8214383104
2012-08-30,998112.9904514484
2012-08-31,1000000.0
2012-09-04,999410.0887943268
2012-09-05,1000198.7495264054
2012-09-06,1008396.0031427382
2012-09-07,1011106.4759649276
2012-09-10,1007116.252514076
2012-09-11,1012141.9383460996
2012-09-12,1014849.7102329251
2012-09-13,1029792.9108144757
2012-09-14,1033067.469810066
2012-09-17,1030887.9588797434
2012-09-18,1032080.3110702226
2012-09-19,1032318.7433615281
2012-09-20,1031091.2165418299
2012-09-21,1029819.1089713685
2012-09-24,1029618.4170736482
2012-09-25,1021384.9071668794
2012-09-26,1017225.2771951368
2012-09-27,1025228.6984655015
2012-09-28,1020707.2457352846
2012-10-01,1000000.0
2012-10-02,999744.1736619949
2012-10-03,1000730.9375370025
2012-10-04,1002953.0305902482
2012-10-05,1003591.9690715789
2012-10-08,1001413.5576351164
2012-10-09,996937.244353485
2012-10-10,989382.6529003143
2012-10-11,991286.5620184994
2012-10-12,990862.3049899196
2012-10-15,1003287.3161803341
2012-10-16,1011079.9400168514
2012-10-17,1008372.8250170803
2012-10-18,1004258.4698592281
2012-10-19,989920.9359009456
2012-10-22,989760.7965630245
2012-10-23,974730.2603138637
2012-10-24,973887.7132328701
