date,account_value,window_id,compounded_account_value
2021-10-13,987531.8008449709,166,2162678.3755571423
2021-10-14,1002823.3185909424,166,2196166.5475130877
2021-10-15,1016276.195711914,166,2225628.12678948
2021-10-18,1017327.5903499756,166,2227930.6637264853
2021-10-19,1021225.4794796144,166,2236466.9767077747
2021-10-20,1024750.4524105224,166,2244186.60935715
2021-10-21,1023713.4356105956,166,2241915.559648804
2021-10-22,1000000.0,167,2241915.559648804
2021-10-25,999994.452334976,168,2241915.559648804
2021-10-26,1000466.1624847412,168,2242973.0998400855
2021-10-27,993717.4612637024,168,2227842.997628479
2021-10-28,999874.3226376036,168,2241646.2375169797
2021-10-29,1002294.5965633848,168,2247072.3173918743
2021-11-01,1003299.507650421,168,2249325.2556925113
2021-11-02,1008002.8107662656,168,2259869.722626839
2021-11-03,1009771.8080502012,168,2263835.687164513
2021-11-04,1007892.8803921202,168,2259623.266643309
2021-11-05,1012533.7760830382,168,2270027.820624465
2021-11-08,1017289.859792755,168,2280690.6178498985
2021-11-09,1013722.0091305237,168,2272691.753560719
2021-11-10,1006216.6458492737,168,2255865.2694919705
2021-11-11,1003644.8192348937,168,2250099.4194014687
2021-11-12,1009287.8350887756,168,2262750.654632447
2021-11-15,1006523.4058437804,168,2256553.0033120504
2021-11-16,1011417.140249298,168,2267524.4034862216
2021-11-17,1004297.5560513,168,2251562.808344918
2021-11-18,1002563.3430691222,168,2247674.8277072133
2021-11-19,1000000.0,169,2247674.8277072133
2021-11-22,999314.6727478028,169,2246134.434893708
2021-11-23,1004258.7939929966,169,2257247.2117616623
2021-11-24,1004122.735714844,169,2256941.3969947575
2021-11-26,975365.4796113285,169,2192304.4363369565
2021-11-29,983568.701794556,169,2210742.6123442864
2021-11-30,965278.1698731692,169,2169631.4441592097
2021-12-01,949075.3174561772,169,2133212.700644482
2021-12-02,969597.4377717288,169,2179339.753888926
2021-12-03,965817.3914307863,169,2170843.438880823
2021-12-06,984338.6885041508,169,2212473.2920891116
2021-12-07,1000588.6070069585,169,2248997.8248601663
2021-12-08,1001132.463803223,169,2250220.2380910073
2021-12-09,1000375.1270570072,169,2248517.9913504403
2021-12-10,1005690.7570466312,169,2260465.799071524
2021-12-13,994936.6717347417,169,2236294.1122209737
2021-12-14,990321.953030518,169,2225921.725152541
2021-12-15,1001797.0854462894,169,2251714.091428077
2021-12-16,999507.554806641,169,2246567.9710420747
2021-12-17,984638.2687196048,169,2213146.6509982664
2021-12-20,1000000.0,170,2213146.6509982664
2021-12-21,1005461.797820282,170,2225234.410552653
2021-12-22,1010965.0324722287,170,2237413.8758922666
2021-12-23,1016884.7988841248,170,2250515.1871014466
2021-12-27,1028140.0473932571,170,2275424.702645586
