date,window_seq,account_value,strategy_compounded,Close,benchmark_continuous,benchmark_window_value,benchmark_compounded,equal_weight_window_value,equal_weight_compounded
2011-03-29,1,1008445.7922629828,997899.757242104,12279.009765625,1019837.743541228,1017586.2668124371,1019095.6698849885,1006844.0917351511,1002393.2328036065
2011-03-30,2,1000000.0,997899.757242104,12350.6103515625,1025784.5569563579,1000000.0,1019095.6698849885,1000000.0,1002393.2328036065
2011-03-31,2,999540.4933355332,997441.2156531814,12319.73046875,1023219.8167525933,997499.7281969475,1016547.6537169621,995512.0098541642,997894.5018525315
2011-04-01,2,1000374.4505610468,998273.4213660718,12376.7197265625,1027953.0808514863,1002114.0149560865,1021250.0533728084,997830.4263217743,1000218.4668304842
2011-04-04,2,1000448.8797015194,998347.6941872812,12400.0302734375,1029889.1470310461,1004001.4153526224,1023173.4949442573,999992.5772008788,1002385.7922399989
2011-04-05,2,999915.287926865,997815.2230848871,12393.900390625,1029380.0273239202,1003505.0930950164,1022667.6950806635,999140.6463228648,1001531.8224930613
2011-04-06,2,1002728.810660935,1000622.8367382109,12426.75,1032108.3639032262,1006164.8490455266,1025378.2408527792,1003612.2596361487,1006014.1374180117
2011-04-07,2,1002943.9984298708,1000837.5725605934,12409.490234375,1030674.8476209664,1004767.366238305,1023954.0721752009,1002700.855009538,1005100.5515879511
2011-04-08,2,1000274.7394690516,998173.9196915755,12380.0498046875,1028229.6617342805,1002383.643584163,1021524.8307401582,999657.301296895,1002049.7139427236
2011-04-11,2,1001058.1850630764,998955.7198596653,12381.1103515625,1028317.7458512057,1002469.5135812573,1021612.34048237,1001148.746641404,1003544.7286631557
2011-04-12,2,994718.3289016164,992629.1789351944,12263.580078125,1018556.2250813602,992953.3625496905,1011914.4721721287,995942.4746476898,998325.9968485218
2011-04-13,2,994555.4809354224,992466.672989262,12270.990234375,1019171.6783771499,993553.345549645,1012525.9122493869,996974.044393894,999360.0353812817
2011-04-14,2,990849.7247336784,988768.6997751433,12285.150390625,1020347.7554447502,994699.8602438123,1013694.3204096723,994968.8406645459,997350.0327325907
2011-04-15,2,995617.949674932,993526.910286496,12341.830078125,1025055.3080656825,999289.0818196373,1018371.1762457384,998046.5449155478,1000435.1026463659
2011-04-18,2,986488.8770564474,984417.0109366647,12201.58984375,1013407.6030056962,987934.1584285633,1006799.4229860189,988252.7054338332,990617.8242267303
2011-04-19,2,985322.4741603254,983253.0577697781,12266.75,1018819.5041269761,993210.0237012261,1012176.0344402863,991511.6173171655,993884.535444886
2011-04-20,2,998697.9680978176,996600.4599229948,12453.5400390625,1034333.4206063625,1008333.9757769118,1027588.7885121658,1010203.1355595173,1012620.7868418446
2011-04-21,2,1003734.431725633,1001626.3457545503,12505.990234375,1038689.6911735173,1012580.7452740862,1031916.6529177357,1014017.8084363622,1016444.5891189533
2011-04-25,2,1002086.79580034,999982.1702646773,12479.8798828125,1036521.0861696256,1010466.6512480207,1029762.1888500426,1014556.9077716266,1016984.9786444312
2011-04-26,2,1009633.6353761076,1007513.1596452809,12595.3701171875,1046113.1707329734,1019817.6250936486,1039291.7258053299,1023793.4139121543,1026243.5898944451
2011-04-27,2,1016190.2075368284,1014055.9614128043,12690.9599609375,1054052.4209181448,1027557.3109090874,1047179.2061061139,1030438.7633420454,1032904.8431925833
2011-04-28,3,1000000.0,1014055.9614128043,12763.3095703125,1060061.4447547125,1000000.0,1047179.2061061139,1000000.0,1032904.8431925833
2011-04-29,3,1000158.5810379982,1014216.7714597535,12810.5400390625,1063984.1889821207,1003700.4875960902,1051054.2797691931,1002947.8323826402,1035949.6735375322
2011-05-02,3,1000415.0520130156,1014476.8473808991,12807.3603515625,1063720.098848872,1003451.3604020437,1050793.398951912,1003622.3805102989,1036646.4175655574
2011-05-03,3,1000552.8868107798,1014616.6195792621,12807.509765625,1063732.5084896542,1003463.0669317392,1050805.657786385,1005012.2784981172,1038082.0499287187
2011-05-04,3,997964.84101944,1011992.1963161445,12723.580078125,1056761.6969380793,996887.2107999393,1043919.5579828187,1001305.3968934068,1034253.1939660716
2011-05-05,3,992867.7248101236,1006823.4352380735,12584.169921875,1045182.9343268833,985964.4830010094,1032481.5045578221,994239.4892660119,1026954.7837561842
2011-05-06,3,995169.708352852,1009157.7753726514,12638.740234375,1049715.2920191248,990240.0443042415,1036958.7834489986,997539.0537758651,1030362.919918838
2011-05-09,3,996522.7074369432,1010529.7921596601,12684.6796875,1053530.8104614732,993839.3813626998,1040727.9343723833,999642.5953002078,1032535.6781471882
2011-05-10,3,1002119.752881241,1016205.5094587489,12760.3603515625,1059816.4962895985,999768.9299367259,1046937.2343406995,1006219.1007308494,1039328.5824577801
2011-05-11,3,992076.589458216,1006021.1797181872,12630.0302734375,1048991.882959406,989557.6224849229,1036244.165510015,998365.2227670557,1031216.2738711343
2011-05-12,3,993380.5275950606,1007343.445959168,12695.919921875,1054464.3723268579,994720.049054185,1041650.1512663962,1001412.9074650138,1034364.2421561789
2011-05-13,3,986620.4010067008,1000488.2992923365,12595.75,1046144.7220418905,986871.7773090575,1033431.6042910285,995993.567300055,1028766.579452885
