date,account_value
2022-05-23,1006980.8991928101
2022-05-24,1011424.2032661438
2022-05-25,1017025.9353590012
2022-05-26,1031528.6107788086
2022-05-27,1048833.4487609863
2022-05-30,796143.955821991
2022-05-31,1039860.0070991516
2022-06-01,1033358.4522361755
2022-06-02,1044094.7791824341
2022-06-03,1035561.616645813
2022-06-05,796261.5146255493
2022-06-06,1037602.5081863403
2022-06-07,1046603.2226638794
2022-06-08,1040133.8483352661
2022-06-09,1022826.6187210083
2022-06-10,998657.3491287231
2022-06-12,796261.5146255493
2022-06-13,970850.424873352
2022-06-14,962720.3173294067
2022-06-15,967926.4987258911
2022-06-16,945220.6881790161
2022-06-17,939679.0182571411
2022-06-20,796261.5146255493
2022-06-21,964339.1148757935
2022-06-22,962654.0293045044
2022-06-23,970073.2175979614
2022-06-24,990726.6825027466
2022-06-26,796261.5146255493
2022-06-27,993674.7466506958
2022-06-28,979804.088935852
2022-06-29,982943.699836731
2022-06-30,977613.6684646606
2022-07-01,986109.1331253052
2022-07-04,796261.5146255493
2022-07-05,978757.3297195435
2022-07-06,984920.592048645
2022-07-07,994187.4931716919
2022-07-08,993459.5292434692
2022-07-10,796261.5146255493
2022-07-11,988972.0421218872
2022-07-12,979925.9487991333
2022-07-13,972006.3985671997
2022-07-14,968619.7754592896
2022-07-15,990583.6152420044
2022-07-17,796261.5146255493
2022-07-18,980900.3034133911
2022-07-19,1001781.5507278442
2022-07-20,997615.3151092529
2022-07-21,1001994.470664978
2022-07-22,998275.6562728882
2022-07-24,796498.0240402222
2022-07-25,1005988.9168014526
2022-07-26,1000658.7630233765
2022-07-27,1012055.2555770874
2022-07-28,1022477.971611023
2022-07-29,1033971.9843978882
2022-07-31,796498.0240402222
2022-08-01,1029691.2994308472
2022-08-02,1016683.8543624878
2022-08-03,1028165.1113815308
2022-08-04,1025653.1059188843
2022-08-05,1029288.1617050171
2022-08-07,796498.0240402222
2022-08-08,1030922.7212905884
2022-08-09,1028387.9983139038
2022-08-10,1041828.1897201538
2022-08-11,1043912.995552063
2022-08-12,1059072.8034591675
2022-08-14,796498.0240402222
2022-08-15,1062597.9938583374
2022-08-16,1071181.6299819946
2022-08-17,1066910.6739730835
2022-08-18,1069107.905265808
2022-08-19,1063168.274482727
2022-08-21,796498.0240402222
2022-08-22,1044968.3340988159
2022-08-23,1039529.1005020142
2022-08-24,1038744.3085403442
2022-08-25,1048986.9463424683
2022-08-26,1016919.5229721069
2022-08-28,796498.0240402222
2022-08-29,1012817.9077529907
2022-08-30,1001068.4566574097
2022-08-31,991799.3066177368
2022-09-01,997887.1159591675
2022-09-02,986499.7879562378
2022-09-05,796498.0240402222
2022-09-06,981783.9505844116
2022-09-07,994378.1748123169
2022-09-08,1000427.4344406128
2022-09-09,1011563.4039001465
2022-09-11,796498.6992492676
2022-09-12,1020653.1520080566
2022-09-13,982600.9065704346
2022-09-14,982793.984375
2022-09-15,978872.8840637207
2022-09-16,975758.5816802979
2022-09-18,796498.6992492676
2022-09-19,981398.37449646
2022-09-20,971222.7328338623
2022-09-21,953219.6446685791
2022-09-22,954096.8129730225
2022-09-23,940932.8271789551
2022-09-25,796498.6992492676
2022-09-26,930629.3235778809
2022-09-27,926899.0521697998
2022-09-28,944671.5372314453
2022-09-29,934132.4580078125
2022-09-30,919413.1241607666
2022-10-02,796498.6992492676
2022-10-03,943677.7987670898
2022-10-04,967250.5548553467
2022-10-05,968709.2570800781
2022-10-06,958445.9167327881
2022-10-07,936895.7956695557
2022-10-09,796498.6992492676
2022-10-10,930716.9224090576
2022-10-11,930262.2557678223
2022-10-12,929632.740447998
2022-10-13,954020.1462402344
2022-10-14,942971.8198852539
2022-10-16,796498.6992492676
2022-10-17,959918.6751403809
2022-10-18,967746.9185028076
2022-10-19,965376.8336791992
2022-10-20,961292.0848693848
2022-10-21,987251.4213867188
2022-10-23,796498.6992492676
2022-10-24,1000276.1331939697
2022-10-25,1009111.4271392822
2022-10-26,1012387.958404541
2022-10-27,1017836.2420959473
2022-10-28,1042060.0314331055
2022-10-30,796498.6992492676
2022-10-31,1039526.7851257324
2022-11-01,1035067.0162658691
2022-11-02,1017036.8094024658
2022-11-03,1010786.522277832
2022-11-04,1022390.173904419
2022-11-06,796498.6992492676
2022-11-07,1033734.3755950928
2022-11-08,1040656.4879760742
2022-11-09,1017049.0338745117
2022-11-10,1053098.3989868164
2022-11-11,1051929.6566009521
2022-11-13,796498.6992492676
2022-11-14,1043954.4304199219
2022-11-15,1042259.5166168213
2022-11-16,1044523.7522583008
2022-11-17,1046117.5561828613
2022-11-18,1056513.6902923584
2022-11-20,796498.6992492676
2022-11-21,1054024.8014678955
2022-11-22,1068950.3715362549
2022-11-23,1073212.322631836
2022-11-24,796498.6992492676
2022-11-25,1078874.7017669678
2022-11-27,796498.6992492676
2022-11-28,1063190.6768188477
2022-11-29,1061754.724243164
2022-11-30,1089868.019958496
2022-12-01,1085874.2396392822
2022-12-02,1088129.9313964844
2022-12-04,796498.6992492676
2022-12-05,1073211.6618041992
2022-12-06,1065125.947845459
2022-12-07,1068534.647720337
2022-12-08,1077161.4407196045
2022-12-09,1064958.1353149414
2022-12-11,796498.6992492676
2022-12-12,1082761.2389221191
2022-12-13,1085937.6322021484
2022-12-14,1084475.0251922607
2022-12-15,1061034.0454864502
2022-12-16,1052763.6221466064
2022-12-18,796498.6992492676
2022-12-19,1046307.5873260498
2022-12-20,1048524.8696594238
2022-12-21,1066116.8816223145
2022-12-22,1057270.1050872803
2022-12-23,1064750.5599060059
2022-12-26,796498.6992492676
2022-12-27,1068183.3871154785
2022-12-28,1056001.5686035156
2022-12-29,1066416.4156799316
2022-12-30,1063040.0783233643
2023-01-02,796498.6992492676
2023-01-03,1058407.1197357178
2023-01-04,1056715.9420928955
2023-01-05,1044231.0300750732
2023-01-06,1061935.7730407715
2023-01-08,796498.6992492676
2023-01-09,1057333.0487060547
2023-01-10,1062089.9460144043
2023-01-11,1072061.8126678467
2023-01-12,1078043.347732544
2023-01-13,1079486.7523498535
2023-01-16,796498.6992492676
2023-01-17,1071015.7935791016
2023-01-18,1051791.1637878418
2023-01-19,1044637.1499481201
2023-01-20,1057521.7816925049
2023-01-22,796498.6992492676
2023-01-23,1061880.6599578857
2023-01-24,1066549.1746826172
2023-01-25,1065939.3835144043
2023-01-26,1070195.923965454
2023-01-27,1067854.3256835938
2023-01-29,796498.6992492676
2023-01-30,1058206.7144470215
2023-01-31,1069707.9175567627
2023-02-01,1069940.0581970215
2023-02-02,1063972.760131836
2023-02-03,1059135.2848205566
2023-02-05,796498.6992492676
2023-02-06,1059481.6041412354
2023-02-07,1065365.0732879639
2023-02-08,1061650.8155975342
2023-02-09,1054412.9759368896
2023-02-10,1061547.5944366455
2023-02-12,796498.6992492676
2023-02-13,1071757.7136230469
2023-02-14,1065404.0726623535
2023-02-15,1067169.6954803467
2023-02-16,1055877.9585876465
2023-02-17,1061321.4786071777
2023-02-20,796498.6992492676
2023-02-21,1037237.6385498047
2023-02-22,1033640.5085754395
2023-02-23,1037834.529876709
2023-02-24,1028151.8694458008
2023-02-26,796498.6992492676
2023-02-27,1030152.4722137451
2023-02-28,1023016.9789581299
2023-03-01,1022749.6037902832
2023-03-02,1029700.9915161133
2023-03-03,1040505.380859375
2023-03-05,796498.6992492676
2023-03-06,1043446.033416748
2023-03-07,1025804.3430023193
2023-03-08,1023892.5670471191
2023-03-09,1008320.6145782471
2023-03-10,996939.117477417
2023-03-12,796498.6992492676
2023-03-13,996564.7500152588
2023-03-14,1003831.3988037109
2023-03-15,997754.4833984375
2023-03-16,1009928.508026123
2023-03-17,1002639.3659057617
2023-03-19,796498.6992492676
2023-03-20,1012811.4822387695
2023-03-21,1022614.6608734131
2023-03-22,1006058.4331665039
2023-03-23,1005346.878112793
2023-03-24,1010052.1195068359
2023-03-26,796498.6992492676
2023-03-27,1014961.2895965576
2023-03-28,1010545.6065673828
2023-03-29,1017462.4940338135
2023-03-30,1022780.2751617432
2023-03-31,1036699.6109313965
2023-04-02,796498.6992492676
2023-04-03,1052224.881515503
2023-04-04,1043173.7095184326
2023-04-05,1049001.9712982178
2023-04-06,1049147.2752685547
2023-04-09,796498.6992492676
2023-04-10,1054643.1167907715
2023-04-11,1059639.814025879
2023-04-12,1057513.849395752
2023-04-13,1069170.5365600586
2023-04-14,1061948.1188354492
2023-04-16,796451.6873779297
2023-04-17,1062694.053100586
2023-04-18,1063014.398853302
2023-04-19,1054719.6336593628
2023-04-20,1052232.2608642578
2023-04-21,1053226.1091308594
2023-04-23,796403.7315673828
2023-04-24,1057688.3156051636
2023-04-25,1048886.0740585327
2023-04-26,1041549.0700912476
